Date,Tweet,User,Location,Belief,Keywords_used
11/18/2020,AlyssaMilano How do you tell people that on their deathbed from COVID19 wont except This is not a hoax If ask the question why and follow the source of that thinking most paths lead to Trump,b'smarthealthtalk',"b'Redlands, California'",.,keywords
11/18/2020,pulte covid19 really bursted my bubble I was working very hard to keep safe and someone at work exposed me may you please help me out with a blessing please gabiev,b'GABIEV97',"b'South Whittier, CA'",.,keywords
11/18/2020,WileELiberal Covid19 Putin and the Trump Administration are allies fighting to destroy America,b'TinPotDickTator',"b""People's Republic of CA""",.,keywords
11/18/2020,Its been over two weeks since GovRonDeSantis answered questions about Covid19 and prior to Tues 13 days since his last public sighting What are you doing to earn your pay and keep your spot in Tallahassee governor Your people are sick and DYING HELP THEM,b'DevoALMIGHTY',"b'Jacksonville, FL'",.,keywords
11/18/2020,HeatherLyWGRZ WGRZ I understand people being upset a point of context I was at Immediate Care last night people were pouring in the front door looking for COVID19 test this is in our community lets do what we do in 716 and do the rightthings to beat this beast,b'RCiepiela',"b'Buffalo, NY'",.,keywords
11/18/2020,Babsdeedee first of all those tons of people are who Im mocking w the joke Mockery doesnt help anyone backup their BS I was making fun of their dumb cause and its not my job to think about how an idiot COVID19 is a hoax guy will read my tweet It was a stupid joke thats it,b'ZachHalverson',"b'White Bear Lake, MN'",.,keywords
11/18/2020,andrewdouglass B52Malmet It is the US covid19 cases which are underreported by 7 to 10 times due to inadequate testing China does vastly more testing per case than the United States and their case numbers are far more accurate,b'LarryBoorstein',"b'Virginia, USA'",.,keywords
11/18/2020,Open SmartNews and read 28YearOld Nurse Dies from COVID19 Complications Hours After Filming Goodbye Video from Hospital Bed here To read it on the web tap here,b'Lisa5708',b'',.,keywords
11/18/2020,Open SmartNews and read States and cities are imposing curfews to slow down Covid19 Will they work here To read it on the web tap here,b'Lisa5708',b'',.,keywords
11/18/2020,UM Director of Athletics Blake James on Covid19 and football I do think its come from outside but I dont think its a footballrelated concern I think were all feeling some sort of Covid fatigue so Im sure young people are feeling some of that,b'Wyatt_Kopelman',"b'New York, USA'",.,keywords
11/18/2020,Hot off the press Gaithersburg Book Festival Book Poetry Contest Reflect the themes of isolation andor community during the COVID19 pandemic Check this link for more Info,b'NWHSMedia',"b'Germantown, MD'",.,keywords
11/18/2020,welp Denmark just passed a law allowing medical officials to force covid19 tests AND vaccines WITH the help of police backing them America might be next our freedom might be tampered with fightback,b'swiftkittyskate',b'',.,keywords
11/18/2020,Hey Im not hearing people on the media saying this but the current spike in COVID were experiencing is directly what Trump and Atlas advocated This IS the herd mentality they wanted JYSexton ConstitutionOverCoronavirus Covid19 HerdImmunity MSNBCPR Trump2020,b'ToadGnarly',b'',.,keywords
11/18/2020,AP That is great news on combating COVID 19 and hopefully the vaccine will be available soon,b'JacoviniMartin',b'',.,keywords
11/18/2020,I believe they didnt have the same level of fear says NYGovCuomoHe says people are wearing masks not because of him but because they are afraid of Covid19 and the virus is real to themReminder There is a mask mandate you must wear one to go inside most places,b'AnneMcCloyNews',"b'Albany, NY'",.,keywords
11/18/2020,UIHC just suspended all nonessential research unless it coincides with medical care or is related to COVID19 Im so glad my husbands clinical trial looking at cognitive decline and diet moved to completely remote in the summer,b'amethystarlight',"b'Ames, IA'",.,keywords
11/18/2020,Because of Covid19 I might not graduate on time To say I am stressed and depressed is an understatement 2020 has truly outdone itself,b'hdubbleu8',"b'Columbia, SC '",.,keywords
11/18/2020,GSAEmily Do whats right for the country While you stay loyal to one man people are going to die with Covid You will be responsible for their deaths Do your job and sign the transition letterMurphyBreakdown FailedPresident Covid19,b'CharlieBoMo',"b'Oregon, USA'",.,keywords
11/18/2020,How does China recover from Covid19 cases without a vaccine and America has a vaccine with numbers still rising in positive cases and deaths how mind blowing,b'dear_r1ck',"b'Kaneohe, HI'",.,keywords
11/18/2020,Coach Larraaga Were playing our five nonconference opponents at home for the first time in program history We dont want nonconference teams flying in from out of state and bringing Covid19 with them,b'Wyatt_Kopelman',"b'New York, USA'",.,keywords
11/18/2020,Vote for a great man and awesome boss joerichard10 Hes done great things with GreyhoundFB20 in a very short time Limited off season headed into year one and then COVID19 off season this last year and is already a bidistrict champions ADHFC,b'cer_ryan',"b'Corpus Christi, TX'",.,keywords
11/18/2020,Most Chicago museums are closing again Thousands of people are getting sick every day millions are unemployed states amp cities are going into lockdowns to slow the spread of COVID19and Senate Republicans dont think this crisis warrants any additional federal support,b'osubluejacket',"b'Chicago, IL'",.,keywords
11/18/2020,Anybody in Chicago having any luck booking appointments for a Covid19 testing Curative is all booked and a lot of them stop testing this weekend No luck with CVS or Walgreens either,b'wendyalas',"b'Chicago, IL'",.,keywords
11/18/2020,in fact itself and its source the hidden Baoodah tiny creature you can not annihilate it with the entire insect eradicators in fact it will remain alive whether in your bodies or in the air Imam Nasser08 072020 ADcovid19 vaccinecoronavirusBiden Harris Trump,b'EDHKNse8ps3kkfa',b'',.,keywords
11/18/2020,McCainSuzanne RandPaul Im so sorry For both your postCOVID19 complications and that you have to hear continued pontificating by this this scientific moron,b'AliceAnneReid',"b'Elk Grove Village, IL'",.,keywords
11/18/2020,toiletpaper Covid19 SecondWave annarbor papertowels We have toilet paper Enough for everyone No purchase limits Come visit us 4659 Washtenaw Ave Ann Arbor Between Golfside and Carpenter Rd Open today 7345441052,b'SupplyCleanAM',"b'Ann Arbor, MI'",.,keywords
11/18/2020,Now that there apparently is an at home approved Covid19 test 50 which requires a prescription I hope the cost is covered by Medicare and all major insurances,b'denmarcduo',"b'Boca Raton, FL'",.,keywords
11/18/2020,My salty ass just thought instead of purchasing gifts for the holidays Ill just make a card with places where free COVID19 testing is and gift that to all of my friends and relativesEspecially since theres a belief in the US that the pandemic is over Its not over,b'emiham0505',"b'Durham, North Carolina'",.,keywords
11/18/2020,The City Reliquary in Williamsburg faces closure due to the COVID19 pandemic Read here,b'KeiraRenee',"b'Brooklyn, NY'",.,keywords
11/18/2020,First box game tonight at 6pm Wear all your equipment into the facility bring your mask and own water Wear blue or black shorts Arrive five minutes early and adhere to all of the RACs COVID19 policies Go Cats,b'Davidsonlax2017',"b'Hilliard, OH'",.,keywords
11/18/2020,MonsterVetArt Yes me I am also still in school a single fulltime dad and I just lost my second job due to COVID19 So not only do I have student debt but I also have financial debt to raise my son,b'SehiFrank',"b'Portland, OR'",.,keywords
11/18/2020,My mom just told me she tested positive for COVID19 after a coworker had also tested and she started to experience symptoms She is high risk She also lives with my dad is who is also high risk I am terrified,b'parkbench13',"b'Grand Forks, ND'",.,keywords
11/18/2020,Anyone who writes off the deaths of those who are sick and dying from Covid19 and keep going out to do public activities in unsafe capacities is not pro life and should be ashamed for calling themselves such,b'TheTrudger',"b'Madison, WI'",.,keywords
11/18/2020,IMPORTANT NOTICEWarsaws Hometown Holly Days First Friday event and Twinkle Parade have been CANCELED due to increasing numbers of COVID19 cases throughout the county however there will still be a Christmas Tree lighting details to come,b'1stFridayWarsaw',"b'Warsaw, IN'",.,keywords
11/18/2020,Newsom legislators face anger over party and Hawaii trip,b'UralG',b'Hyrule',.,keywords
11/18/2020,pulte 2 kids being evicted wife and I both lost our jobs due to covid19hopelessinct the wife and I couldnt care less if we had to live in our vehicle but our kids dont deserve that,b'TheJaxStevens',"b'Connecticut, USA'",.,keywords
11/18/2020,So I waited for 2 hours to get tested for COVID and they told me I have to have insurance or pay 249 Are you kidding me No signs anywhere stating i need to have insurance Covid19 LosAngeles MayorOfLA vaccines,b'ctbutler',b'Pomona CA ',.,keywords
11/18/2020,Incredible story from CommunityMed Im thrilled to see Gabriela and her baby girl go home after a long hard journey with COVID19,b'craig_castro',"b'Fresno, CA'",.,keywords
11/18/2020,This is a global pandemic and the next months are crucial USsanctioned countries must not be left out of COVID19 aid,b'ChuyForCongress',"b'Chicago, IL'",.,keywords
11/18/2020,JordanElderTV and I walking into the night shift to bring you the latest on COVID19 vaccines,b'MarcellaBaietto',"b'Springfield, IL (i\xe2\x80\x99m so cold)'",.,keywords
11/18/2020,COVID19 has Golden Bridge Academy on remote learning With kids at home theres concern many of the families might not have enough food for Thanksgiving Please help Drop off any storebought food or gift cards to Golden Bridge Academy between 8 and 4 weekdays now the 25th,b'921TheFrog',"b'Lima, OH'",.,keywords
11/18/2020,KOCODillon okcjulie bprib99 davidfholt okchealth Go take a look at my page for some more of her telling me my COVID19 experience is false and inaccurate Wish I had seen this interaction before engaging,b'JakeHolleyMedia',"b'Stillwater, OK/Guthrie, OK'",.,keywords
11/18/2020,Today MIs top epidemiologist Dr Sarah LyonCallo gave an update on the latest COVID19 trendsThis image stood out to me Ill have more on testing outbreaks and hospitalizations later today WLNS,b'aracelireports',"b'East Lansing, MI'",.,keywords
11/18/2020,We are looking forward to a COVID19 vaccine Until then get a flu shot wear your mask and listen to this remake by a Northeastern professor ProtectThePackNU,b'NU_UHCS',b'Northeastern University',.,keywords
11/18/2020,Hey everyone Carter Blood Care will be in their bus in the UT HEALTH ATHENS employee parking lot TODAY November 18th from 1030am330pmThey are at a CRITICAL LOW and NEED donations If you are able to do so please donate They also are doing free COVID19 Antibody Testing,b'ashlynnrxchelle',"b'Athens, TX'",.,keywords
11/18/2020,To all of Trumpism black and brown supporters what the hell you got to lose He is our biggest threat to USA How many families friends did you lose to covid19 He want to exclude our votes to steal this election This who you supported fking why,b'MrsElizlia',b'USA',.,keywords
11/18/2020,COVID19 vaccibe is for those who are 18 years and olderStudies did not test those younger than the age of 18 so they cant be approved to receive the vaccibeabc4utah,b'jordan_burrows',"b'Scranton, PA'",.,keywords
11/18/2020,NEW 1118 the 1280 positive cases in Rhode Island is the highest single day amount since the pandemic began Postivity rate and hospitalizations continue to go up Covid19 wpri12 RIHEALTH,b'plittletvguy',"b'Providence, RI'",.,keywords
11/18/2020,And the COVID19 rages on,b'Pepyone',"b'So. California, USA'",.,keywords
11/18/2020,Kyle Van Noy who was banged up with a hip injury in Sundays game was not seen at practice today Matt Breida hip was participating QB coach Robby Brown and DL coach Marion Hobby are back after missing about 1 12 weeks due to their covid19 situations,b'CameronWolfe',"b'Miami, FL'",.,keywords
11/18/2020,Bill Gates started a podcast Im not much of a podcast listener but when someone you admire and view as an ethical leader has something to say you listenHeres episode 1 What will the world look like after COVID19 via BillGates,b'LTEstyles',"b'Manhattan, NY'",.,keywords
11/18/2020,This is my therapy folks My bliss Be and stay blessed Be safe in times of COVID19 Same Boat by Calypso Rose Patrice Kobo Town from SoundHound,b'mbvukutaphiri',"b'Davis, California, USA'",.,keywords
11/18/2020,Just finished presenting my research Blues Epistemology Community Resilience and COVID 19 in the Mississippi Delta in the SWAAG graduate student paper competition SWAAG2020 AAG,b'mandytrumangeo',"b'San Marcos, TX'",.,keywords
11/18/2020,This is my therapy folks My bliss Be and stay blessed Be safe in times of COVID19 Try to Remember by Harry Belafonte from SoundHound with LiveLyrics,b'mbvukutaphiri',"b'Davis, California, USA'",.,keywords
11/18/2020,Miami felty busses are a way of transportation to workers go back and forth to work keeping the economy alive risking to contract the covid19 Can government enforced to disinfect these busses protecting workers from such an infection focused inside,b'LolaBWheeler1',b'',.,keywords
11/18/2020,This is longest Ive gone in over a decade without going to England and without seeing my family and without seeing chaotictig3r and let me tell you all it sucks wear you masks people We got to beat Covid19 Also side note I miss the underground,b'theolaurent',"b'Dallas, TX'",.,keywords
11/18/2020,Kayla and I may have been exposed to Covid19 so our original goal was to get both versions of the test rapid and lab conducted After traveling an hour to Greenfield yesterday one of the very few rapid testing locations in Indiana we were informed to comeback at 8am 13,b'a_a_ronwx',"b'Muncie, IN'",.,keywords
11/18/2020,Stay Alert for Covid19 coronavirus from Brian Anthony Taylor Peace and love Atlanta Georgia,b'cadb123456789',"b'Atlanta, GA'",.,keywords
11/18/2020,Hancock added that unlike March and April Denver is more prepared to handle COVID19 with resources but a lack of staffing is becoming an issue for the local health care system Thats because were literally not more prepared,b'JessICannnnnn',b'',.,keywords
11/18/2020,Out of 449 mil people we have had 140 people under 60 die presumably from COVID19 1 death under the age of 20 Yet we are shutting down schools and waiting for GovAndyBeshear to lower the boom with more restrictions today Ridiculous,b'DocCreque',"b'Shelbyville, KY'",.,keywords
11/18/2020,good before even setting foot into the White House Just look at how many Senators Security Aides cleaning people and the rest have contracted COVID19 in the White House because the Republicans refusal to wear mask and social distance themselves All in the name of not,b'whizkid1955',"b'Michigan, USA'",.,keywords
11/18/2020,Seem like Christmas is tomorrow and shit with this Covid19 seem like the virus pushed time forward,b'MR_N_YA_KITCH3N',"b'Columbus,Ohio'",.,keywords
11/18/2020,Covid 19 testing now being offered at Premier Family Care in Blountsville for adults amp children This includes a 15 minute rapid test We are grateful to have this service and all health care needs provided in our community with Dr Gardner and Dr Youngblood,b'TBlountsville',b'',.,keywords
11/18/2020,By Charlotte and Mecklenburg ZIP codes this new map charts COVID19 positivity rates,b'jdmoore45',b'',.,keywords
11/18/2020,I got tested for Covid like 3 weeks ago and was negative and now the Covid19 Iowa Task Force will not leave me alone,b'maureenjdeal',b'Massena',.,keywords
11/18/2020,Cool Report If Indiana were a country its COVID19 mortality rate would be 35th worst in the world,b'JenStojanovich',b'',.,keywords
11/18/2020,senatemajldr ChuckGrassley Hes not the only person that has Covid19 we also have dead Americans this is real and not a joke if you can sympathize with him WE THE AMERICAN PEOPLE WHO YOU WORK FOR NEEDS HELP IMMEDIATELY Pass stimuluspackage,b'prettiwingz1',b'Nashville Tn',.,keywords
11/18/2020,Diseases that put you at the highest risk for severe COVID19 obesity diabetes and COPD chronic obstructive pulmonary disease Smoking also puts you at higher risk,b'itskathrynyoung',"b'Charlottesville, VA'",.,keywords
11/18/2020,COVID19 Community Education Seminar Join our public COVID19 seminar and talk to our UNM Health experts Link and Zoom information can be found here,b'UNMHSC',b'New Mexico',.,keywords
11/18/2020,karaswisher elonmusk Oh I thought this was going to be a refresh to the September podcast Wish it was already time to revisit his new familiarity with being COVID19 positive and who he voted for moreplease,b'meyerjr',"b'Sunnyvale, CA'",.,keywords
11/18/2020,We want you to know that your feelings are valid and were here to help you get through this Our website has resources for safety planning and legal help that you can view right now,b'WomenAgnstAbuse',"b'Philadelphia, PA'",.,keywords
11/18/2020,StanlySchools food and nutrition WILL NOT let COVID19 take away our yearly Thanksgiving meal for students BullpupPride cafeteria staff brought the with this years favorites Way to go ladies MyfavoriteSchoolMeal,b'APLindsayM',"b'Monroe, NC'",.,keywords
11/18/2020,THEMRCR0W IlhanMN So what The virus has long lasting health effects especially on the lungs Covid19 is not a virus which everyone can just recover and be done with it Also this is a highly contagious virus What dont you understand about the word contagious,b'TCUnderground1',"b'Minneapolis,MN'",.,keywords
11/18/2020,What a remarkable feat of human dedication and perseverance A successful vaccine in less than a years time400x faster than any other vaccine in history Great job realDonaldTrump Warpspeed Pfizer Covid19,b'MannyRamirez_TX',"b'Fort Worth, TX'",.,keywords
11/18/2020,Gov Baker to Provide Update on Covid 19 in Mass WATCH LIVE Charging 5000 for rapid testing Covid at homeThis is a worldwide PANDEMIC people dont have 50 to spare Pharmacy Testing is overwhelmed at this time and this Gov sends you to CVS,b'Jaun80346114',b'',.,keywords
11/18/2020,Another reason to love DollyParton and the philanthropic things she does In early Spring she donated 1 million to Vanderbilt University for research into a COVID19 vaccine This research help moderna develop their vaccine,b'mauidi',"b'Hawaii, Lahaina'",.,keywords
11/18/2020,With the holidays upon us its important to remember local and state travel guidelines to help mitigate the spread of COVID19 Check out UNMSHACs tips on how to protect yourself when traveling,b'UNMHSC',b'New Mexico',.,keywords
11/18/2020,An additional 200 million grant program will soon be available for Alabamas small businesses non profits and faith based organizations that continue to feel the effects of the COVID19 pandemicI encourage all qualified entities to apply quickly beginning Nov 23rd,b'andy_whitt1',b'',.,keywords
11/18/2020,Our countrys strategy to fight Covid19 is comparable to a high school college student given two weeks to write an essay and not putting work in on it until the night it is due,b'BStricklandino',"b'Electric City, PA'",.,keywords
11/18/2020,Btw Twitterverse I am cleared for being back in the world and have recovered from COVID19Danielle and I have greatly appreciated all the support and prayers we recieved,b'BJohnsonICT',"b'Wichita, KS'",.,keywords
11/18/2020,Kennewick Mayor Don Britain tells Newsradio 610 KONA that he tested positive for COVID19 in April and was sick with the virus for about two weeks,b'610KONARADIO',"b'Tri Cities, Washington'",.,keywords
11/18/2020,Homeoffree61 GOP No Trump and Moscow Mitch must be held accountable for the 250000 deaths of Americans from Covid 19 Criminal mishandling People desperately need aid How Mitch won reelection blows my mindLockThemUp TrumpPandemic LindseyGrahamResign MoscowMitch 25thAmendmentNow RESIST,b'soonerdreams',"b'Checotah,Oklahoma.USA'",.,keywords
11/18/2020,leftyterrier SyntheticNothin NPR The money has to come from somewhere and we are already in debt and have tossed trillions at COVID19 When you are broke you dont get to spend money on luxury items,b'LynnOAult',b'Biggest Little City',.,keywords
11/18/2020,1 The first at home COVID19 rapid test is now available and approved Here is the back story why Im posting thisIm currently admitted into the hospital fighting a GI issue its NOT COVID,b'SoCalFirePhoto',"b'Pasadena, CA'",.,keywords
11/18/2020,praynextdoor Hell nah Bruh aint no haircut worth 40 that haircut better make you fly or something and thats illegal because they cant raise the rent because of the pandemic law,b'PaliWitDaHoodie',"b'New York, NYC'",.,keywords
11/18/2020,Burning some Sage lighting a candle and sending up some good vibes for a friend and her coworker as well as her better half Covid19 NEEDS TO BE GONE FROM THIS WORLD,b'cam761',"b'North Carolina, USA'",.,keywords
11/18/2020,Data includes 156 new positive coronavirus COVID19 cases bringing the Districts overall positive case total to 19465 and five additional residents lost their lives due to COVID19 PR Coronavirus Data for November 17 2020,b'TheAdvoc8te',"b'Washington, DC'",.,keywords
11/18/2020,alphabeerguy Lockdowns only help temporarily and at a very high cost,b'jvferg72',b'',.,keywords
11/18/2020,No longer in Quarantine am now Negative for Covid19 and its GameDay MetroJetsHockey Development Program MJDP VS ColumbusMavsHky at OHSportsMed ChillerIceRinks North woodyswinghouse PreGame Show Starts at NoonFace Off at 1230pm USPHL MyHockeyTV,b'mattprieur',b'Westerville OH - HT: Flint MI',.,keywords
11/18/2020,OdyneLaFee It took me about two years to learn that and move on but how to get the divorce through It took from March of 17 to December of 19 for her to sign and then covid but the decree was issued November of 20,b'53mdr',"b'Pittsburgh, PA, USA'",.,keywords
11/18/2020,mobster84 Unfortunately due to COVID19 regulations we are unable to hold our Annual Tree Lighting this year We apologize for any inconvenience and we hope you have a happy holiday season,b'LansdowneResort',"b'Leesburg, VA'",.,keywords
11/18/2020,keepoffgrass Although I understand what you are saying covid19 and ALS are completely different illnesses ALS is terminal and nothing is known on how its contracted Until youve seen someone die from it like I have you cant really compare the two But EVERYBODY should wear a mask,b'DonTheDuffster',b'Middle Earth or The Wall',.,keywords
11/18/2020,Join our team talking about life finding balance and living and working during COVID19 by subscribing to our partners podcast In the Grind with Meg and Grady guest cohosted by Agata Zachary gearing up to air soon Stay tuned for more information on how to subscribe,b'TheRecordsCo',"b'Hamilton, OH'",.,keywords
11/18/2020,The Heroes act bill was passed by SpeakerPelosi since MayDont believe what senatemajldrsays read all by yourself and then do your judgment whos lying hereDoes he deserves to win the senate,b'alicia_lupercio',b'',.,keywords
11/18/2020,Two Covid 19 vaccines applying for approval in US and EU quickly Great news,b'lggp',"b'Salem, Oregon'",.,keywords
11/18/2020,Talking with SyracuseU students about SUs handling of Covid19 this semester one person said they feel the school did a good job of promoting social distancing not allowing movement between residence halls and restricting access to dining halls at times jnl211,b'SnazzyManDan',b'',.,keywords
11/18/2020,So Andy Dalton Tyrone Crawford both activated off the COVID19 list And Brandon Knight will be practicing today after short sidelined stint,b'Kyle_Youmans',"b'Texas, USA'",.,keywords
11/18/2020,Wouldnt that be about right if BYU and Utah play in 2020 at a time of year that had been customary for decadesall because of a COVID19 cancellation,b'AndrewAdamsKSL',"b'Salt Lake City, UT'",.,keywords
11/18/2020,The Houston at SMU and Navy at USF games have been postponed due to positive COVID19 cases with Houston and USF and the ensuing contact tracing of studentathletes AACFootball,b'TylerFeldmanTV',b'412\xe2\x9e\xa1\xef\xb8\x8f814\xe2\x9e\xa1\xef\xb8\x8f607\xe2\x9e\xa1\xef\xb8\x8f252',.,keywords
11/18/2020,From UHCougarFB Game scheduled for Saturday Nov 21 at SMU postponed due to positive COVID19 cases within the Cougars football programHouston SMU and the American Athletic Conference are working together to reschedule the game,b'MarkBermanFox26',"b'Houston, Tx'",.,keywords
11/18/2020,A quarter of a million Americans dead from COVID19 and our tantruming president is bunkered in the White House tweeting out delusional fantasies of winning the election he clearly lost Its hard to imagine him dragging our country down any further but he will He always does,b'TheKaufmann',"b'Brooklyn, NY'",.,keywords
11/18/2020,The American Athletic Conference announced postponement of 2 football games scheduled for Saturday Nov 21 The Houston at SMU and Navy at USF games have been postponed due to positive COVID19 cases with Houston and USF Options to reschedule are being considered,b'MarkBermanFox26',"b'Houston, Tx'",.,keywords
11/18/2020,Idahos rate is 46 times higher than the World Health Organizations advised reopening positivity rate of 5 and trails only South Dakota South Dakota who was running ads stating Were open and well always be open as recently as September,b'dementedgnat',"b'Middleton, ID'",.,keywords
11/18/2020,Very sad it could have been stopped like all the other countries stopped it but Trump sat on information and did nothing for months and months and look where we are now still shortages of PPE America is in a new outbreakCovid19 is out of control and we are behind in containment,b'bigworlds3',b'',.,keywords
11/18/2020,PSA LA County offers free COVID19 testing you can make an appointment online at Stay safe and be considerate of each other,b'integralofellie',"b'Los Angeles, CA'",.,keywords
11/18/2020,This is really heartbreaking My heart goes out to you and others affected by covid Hope for great recovery This is the reason why we MASK To protect others and ourselves No one should have to go through this experience Covid19,b'DalalSidd',"b'Brooklyn, NY'",.,keywords
11/18/2020,12 days in to participating in the astrazeneca COVID19 AZD1222 US Phase III trialand feeling great Truly honored to have had this opportunity to volunteer Gd bless the USA and our medical and scientific community,b'Eric_Brinker',b'NYC',.,keywords
11/18/2020,Convenient excuse Lying fuck they were downin Florida anyway and not coming back Gov Pritzker says hateful threatening messages to daughter prompted hard decision for familys Thanksgiving via SunTimes,b'GrubSeeker',b'Illinois',.,keywords
11/18/2020,Anyone else have 9 to 5 stuck in their head nowTumble outta bed and I stumble to the kitchen6abc,b'GeorgeSolis',"b'Philadelphia, PA'",.,keywords
11/18/2020,My wife and I tested positive for Covid19 on yesterday please pray for me and my family Protect2020,b'teddyk95',"b'West Columbia, SC'",.,keywords
11/18/2020,Signs at the Gatewayexpo ask patrons to take precautions for Covid19 Face Masks are being offered for those who dont have them sanitation is provided and exhibits have been spread out to adhere to current DHMS in place Well here more about this years expo on NTVNEWS,b'StumChrisTV',"b'Kearney, NE'",.,keywords
11/18/2020,Should you be paid for getting a COVID19VaccineYes you read that right Everyone who gets the first wave is still a guinea pig This is a debate the world needs to have and soon Vaccines CoronavirusVaccine COVIDvaccine VaccinesWork COVID19,b'Joseph_Santoro',"b'Washington, DC 20009'",.,keywords
11/18/2020,Good Job AmericaYour failure to protect the people from COVID19 and curb this virus and your continued selfishness has led to a quarter of a million deaths,b'BrandonGBlake',"b'Florida, USA'",.,keywords
11/18/2020,Governor Lamont cannot keep ignoring and endangering incarcerated people 70 of whom are Black and Latinx by leaving them in prisons and jails during COVID19 FreeThemNowCT,b'GusWMH',"b'Farmington, CT'",.,keywords
11/18/2020,aier jeffreyatucker edstringham robertewright I think its high time we all fall in line and get behind Dr Fauci and defeat this COVID19 demon once and for all,b'JFerramosca',b'New York City',.,keywords
11/18/2020,covid19 is still here and growing Pleas4 be careful wear your and maintain social distance We are in this together AskMeWhyWeYV EverybodyKnowsTerrance YoungVisionaries,b'TerranceStone',b'Victorville ',.,keywords
11/18/2020,I was at an online prayercommunion service for work this morning and nearly everyone had a close friend or family member who was diagnosed with COVID19 It was sobering to see how widespread this disease is,b'paulbos',b'United States',.,keywords
11/18/2020,HAPPENING NOW MayorGinther and ColumbusGov are addressing the covid19 crisis and their plan to help slow the spread They will be signing a health advisory that will go into effect Friday Live updates at 45 amp 6 on nbc4i,b'thedanigrossman',"b'Columbus, OH'",.,keywords
11/18/2020,St Charles Co ltSW of St Louisgt cases are soaring Ehlmann did not order the closing of any restaurants or bars at the onset of COVID19 in the spring and instead entrusted residents to limit their activities to work and those they found essential,b'magstweets8',"b'St Louis, MO'",.,keywords
11/18/2020,Franklin County Commissioner John OGrady is sending a message ahead of a COVID19 safety meeting for the city and county 10TV,b'BrittBaileyTV',"b'Columbus, OH'",.,keywords
